id,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product,category,ecommerce_name
613483b08c685a89e2a48830,"Sepatu Wanita Kets Vans SP31 - Abu-abu, 37",BELENI,Depok,37900,0,196,5,78,https://www.tokopedia.com/beleni/sepatu-wanita-kets-vans-sp31-abu-abu-37?whid=0,,tokopedia
613483b08c685a89e2a48831,"Sepatu Pria Dewasa Vans Cacing 36-43 Hitam Trendy - Hitam, 36","Dede shoes15","Kabupaten Bogor",25500,0,22,4,9,https://www.tokopedia.com/dedeshoes15/sepatu-pria-dewasa-vans-cacing-36-43-hitam-trendy-hitam-36?whid=0,,tokopedia
613483b08c685a89e2a48832,"sepatu vans sk8 full black ukuran 36 - 45 size - Hitam, 36",aydinasti,"Jakarta Selatan",175000,0,4,5,3,https://www.tokopedia.com/aydinasti/sepatu-vans-sk8-full-black-ukuran-36-45-size-hitam-36?whid=0,,tokopedia
613483b08c685a89e2a48833,"SEPATU PRIA SNEAKERS VANS OLD SKOOL OFF THE WALL YELLOW",PrimaShoesBekasi,Bekasi,160000,0,2,5,2,https://www.tokopedia.com/primashoesbe/sepatu-pria-sneakers-vans-old-skool-off-the-wall-yellow?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48835,"Sepatu Kolaborasi VANS X MOONEYES / MOON Equipped SK8-HI - 8","Mooneyes Jakarta","Jakarta Selatan",2500000,0,10,5,6,https://www.tokopedia.com/mooneyesjakarta/sepatu-kolaborasi-vans-x-mooneyes-moon-equipped-sk8-hi-8?whid=0,SK8-Hi,tokopedia
613483b08c685a89e2a48836,"SEPATU PRIA SNEAKERS VANS OLDSHOOL CACING SEKOLAH KERJA TERLARIS - Hitam, 39","PABRIK SEPATU BANDUNG88","Kabupaten Bandung",45000,0,14,4,12,https://www.tokopedia.com/pabrik-1/sepatu-pria-sneakers-vans-oldshool-cacing-sekolah-kerja-terlaris-hitam-39?whid=0,,tokopedia
613483b08c685a89e2a48837,"SEPATU PRIA VANS AUTHENTIC BLACK WHITE With Box - 39",JackRepublic,Surabaya,67000,0,18,4,8,https://www.tokopedia.com/jackrepublic/sepatu-pria-vans-authentic-black-white-with-box-39?whid=0,Authentic,tokopedia
613483b08c685a89e2a48839,"Sepatu Vans Oldskool Off White Grey List Navy Premium BNIB","NEW ANGGOANS",Bandung,270000,0,15,5,8,https://www.tokopedia.com/new-anggoans/sepatu-vans-oldskool-off-white-grey-list-navy-premium-bnib?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4883b,"SEPATU KASUAL VANS SLIP ON SLIPON SLOP ABU FOX PUTIH - 40","NAF SHOES","Kabupaten Tangerang",55000,0,34,5,13,https://www.tokopedia.com/nafshoes888/sepatu-kasual-vans-slip-on-slipon-slop-abu-fox-putih-40?whid=0,Slip-on,tokopedia
613483b08c685a89e2a4883c,"vans pria / sneakers pria / sepatu vans / sepatu cowok / - vt. catur, 39",Mirzaarselan,"Kabupaten Kediri",50000,0,180,5,119,https://www.tokopedia.com/mirzaarselan/vans-pria-sneakers-pria-sepatu-vans-sepatu-cowok-vt-catur-39?whid=0,,tokopedia
613483b08c685a89e2a4883d,"VANS CHIMA PRO 2 SHOES - WHITE/WHITE - 39","Vella Supply","Tangerang Selatan",700000,0,0,0,0,https://www.tokopedia.com/vellasupply/vans-chima-pro-2-shoes-white-white-39?whid=0,,tokopedia
613483b08c685a89e2a48840,"Sepatu sport Vans clasic new black - Hitam, 39","DMC13 Store","Jakarta Timur",35000,0,892,5,443,https://www.tokopedia.com/dmc13/sepatu-sport-vans-clasic-new-black-hitam-39?whid=0,,tokopedia
613483b08c685a89e2a48842,"Sepatu Vans Era Authentic Hitam sepatu sekolah skater sepatu kasual - 36","NAF SHOES","Kabupaten Tangerang",55000,0,128,5,71,https://www.tokopedia.com/nafshoes888/sepatu-vans-era-authentic-hitam-sepatu-sekolah-skater-sepatu-kasual-36?whid=0,Era,tokopedia
613483b08c685a89e2a48844,"Sepatu Vans Sk8 Sk 8 Hi Black Navy Blue HIgh DT Premium Biru - 38","Ezelis Store","Kabupaten Tangerang",85000,0,46,4,20,https://www.tokopedia.com/ezelisstore/sepatu-vans-sk8-sk-8-hi-black-navy-blue-high-dt-premium-biru-38?whid=0,,tokopedia
613483b08c685a89e2a48845,"Sepatu Vans Slip On Classic Checkerboard 100% Original Global - BLACK WHITE, 37",Areba_store,"Jakarta Selatan",450000,0,90,5,47,https://www.tokopedia.com/anjarspor195/sepatu-vans-slip-on-classic-checkerboard-100-original-global-black-white-37?whid=0,Checkerboard,tokopedia
613483b08c685a89e2a48846,"sepatu vans / vans / sepatu pria / sepatu catur - catur, 39",Mirzaarselan,"Kabupaten Kediri",50000,0,254,5,162,https://www.tokopedia.com/mirzaarselan/sepatu-vans-vans-sepatu-pria-sepatu-catur-catur-39?whid=0,,tokopedia
