Unnamed: 0,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
143,Vans Old Skool Style 36 Decon Sf V66 Marshmallow,primt.store,"KAB. CIANJUR - KARANGTENGAH, JAWA BARAT, ID",Rp700.000,30% off,74,4.8,56,/Vans-Old-Skool-Style-36-Decon-Sf-V66-Marshmallow-i.139782988.7433515053?position=493
145,(SALE EDAN) VANS OLDSKOOL V36CL+ BLK/WHT JAPAN,heloobang01,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",Rp475.000,,55,4.7,42,/(SALE-EDAN)-VANS-OLDSKOOL-V36CL-BLK-WHT-JAPAN-i.203163626.6732162478?position=540
146,Sepatu Pria Vans Motif Murah Sneakers Tali Casual Sepatu Vans Motip Koran -Nongkrong-Kuliah-Sekolah,sepatu_slop,"KAB. BANDUNG - CIPARAY, JAWA BARAT, ID",Rp74.000,51% off,34,4.9,21,/Sepatu-Pria-Vans-Motif-Murah-Sneakers-Tali-Casual-Sepatu-Vans-Motip-Koran-Nongkrong-Kuliah-Sekolah-i.15482688.6158521184?position=541
147,Vans Sk8 Clasics  Black // White Global Market Authentic Guarantee Original  BNIB 100%,mugny_sneakers,"KOTA JAKARTA SELATAN - KEBAYORAN BARU, DKI JAKARTA, ID",Rp589.000,9% off,80,4.8,50,/Vans-Sk8-Clasics-Black-White-Global-Market-Authentic-Guarantee-Original-BNIB-100--i.184775637.4949504865?position=542
148,SALE!! Vans Japan Domestic Market V36CL OLD SKOOL BLK/WHT - ORIGINAL*FREE VANS SOCK !,osdormaison,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",Rp480.000,3% off,94,4.8,64,/SALE!!-Vans-Japan-Domestic-Market-V36CL-OLD-SKOOL-BLK-WHT-ORIGINAL*FREE-VANS-SOCK-!-i.216966960.7750241869?position=543
149,Sepatu Convers Pria Spatu Hits Sepatu Vans Keren Casual Original Sepatu Cowok Murah - Hattrick,sepatu_pria_sneakers,"KAB. BONDOWOSO - JAMBE SARI DARUS SHOLAH, JAWA TIMUR, ID",Rp30.000 - Rp157.500,55% off,"5,8RB",4.9,17,/Sepatu-Convers-Pria-Spatu-Hits-Sepatu-Vans-Keren-Casual-Original-Sepatu-Cowok-Murah-Hattrick-i.460366398.8968066032?position=544
150,Vans Old Skool Vault OG X WTAPS White Black - VN0A4P3X20F Waffle EVB Made In Vietnam,heyganshoes,"KAB. BANDUNG - MARGAASIH, JAWA BARAT, ID",Rp635.000,58% off,49,4.9,36,/Vans-Old-Skool-Vault-OG-X-WTAPS-White-Black-VN0A4P3X20F-Waffle-EVB-Made-In-Vietnam-i.253479406.3256701132?position=545
151,SEPATU VANS ERA AUTHENTIC ABU SEPATU KASUAL SEPATU SEKOLAH GAYA,xiazevs,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp44.800 - Rp50.400,36% off,286,4.8,178,/SEPATU-VANS-ERA-AUTHENTIC-ABU-SEPATU-KASUAL-SEPATU-SEKOLAH-GAYA-i.27952847.2580608536?position=546
152,"(BAYAR DITEMPAT) VANS OLD SKOOL STYLE 36 RETRO VINTAGE,BLACK ASPAC LX  100% BNIB IMPORT QUALITY",j_roum.quality,"KAB. TANGERANG - CIKUPA, BANTEN, ID",Rp144.480 - Rp154.800,44% off,"1,7RB",4.6,5,/(BAYAR-DITEMPAT)-VANS-OLD-SKOOL-STYLE-36-RETRO-VINTAGE-BLACK-ASPAC-LX-100-BNIB-IMPORT-QUALITY-i.380536983.8370343214?position=547
153,VANS Japan Domestic Market V95CLA Era Black/White - ORIGINAL,osdormaison,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",Rp450.000,,53,4.8,43,/VANS-Japan-Domestic-Market-V95CLA-Era-Black-White-ORIGINAL-i.216966960.3849447682?position=548
154,Vans Authentic 44DX Anaheim Factory Black White Original 100% Guarantee BNIB,,9,Rp650.000,43% off,16,5.0,15,/Vans-Authentic-44DX-Anaheim-Factory-Black-White-Original-100-Guarantee-BNIB-i.202460668.8326189721?position=549
155,COD SEPATU VANS OLSDKOOL OG BLACK & WHITE waffle premium,tunasmega.shoes,"KOTA TANGERANG - PINANG (PENANG), BANTEN, ID",Rp127.300,33% off,10RB+,4.9,54,/COD-SEPATU-VANS-OLSDKOOL-OG-BLACK-WHITE-waffle-premium-i.392164131.8918420154?position=550
156,Sepatu Vans Slip On Motif OG LX Checkerboard Catur Black Off White Hitam Putih - Un-Original Premium,sneakersidofficial_bdg,"KOTA BANDUNG - COBLONG, JAWA BARAT, ID",Rp300.000,,99,4.7,52,/Sepatu-Vans-Slip-On-Motif-OG-LX-Checkerboard-Catur-Black-Off-White-Hitam-Putih-Un-Original-Premium-i.147447770.6803365779?position=551
157,(COD/BAYAR DITEMPAT) VANS OLD SKOOL/SEPATU PRIA KUALITAS PREM/GRADE ORIGINAL DT SEPATU WANITA IMPORD,greenlakestore,"KOTA TANGERANG - PINANG (PENANG), BANTEN, ID",Rp65.000,46% off,77,4.8,44,/(COD-BAYAR-DITEMPAT)-VANS-OLD-SKOOL-SEPATU-PRIA-KUALITAS-PREM-GRADE-ORIGINAL-DT-SEPATU-WANITA-IMPORD-i.123101900.3267194029?position=552
158,(SALE EDAN) VANS STYLE 36 DECON SF BLK/BLK/WHT,heloobang01,"KAB. SLEMAN - DEPOK, DI YOGYAKARTA, ID",Rp675.000,10% off,60,4.8,45,/(SALE-EDAN)-VANS-STYLE-36-DECON-SF-BLK-BLK-WHT-i.203163626.6843147153?position=553
159,Sepatu Vans Zapato Klasik Miror 1:1 Premium Quality - Sepatu Sneakers - Sepatu Casual - Sepatu Pria,fa_shoes17,"KAB. TANGERANG - CIKUPA, BANTEN, ID",Rp149.900,40% off,31,4.9,22,/Sepatu-Vans-Zapato-Klasik-Miror-1-1-Premium-Quality-Sepatu-Sneakers-Sepatu-Casual-Sepatu-Pria-i.94587036.8314861094?position=554
